date,category,sub_category,amount,payment_mode,is_essential
01-07-2025,Shopping,Amazon Purchase,1330,UPI,No
01-07-2025,Entertainment,Movies,666,Cash,No
01-07-2025,Utilities,Internet Bill,330,Card,Yes
02-07-2025,Transport,Auto/Taxi,513,Card,Yes
03-07-2025,Shopping,Clothes,659,Card,No
03-07-2025,Health,Medicines,674,Cash,Yes
04-07-2025,Transport,Fuel,799,Cash,Yes
04-07-2025,Health,Medicines,762,Cash,Yes
04-07-2025,Shopping,Electronics,846,UPI,No
05-07-2025,Subscriptions,Netflix,800,Card,No
06-07-2025,Transport,Fuel,664,Card,Yes
06-07-2025,Shopping,Clothes,1678,UPI,No
07-07-2025,Utilities,Water Bill,2155,Card,Yes
07-07-2025,Shopping,Electronics,1329,Card,No
07-07-2025,Entertainment,OTT,1779,Card,No
08-07-2025,Health,Gym Membership,1015,Cash,Yes
08-07-2025,Health,Medicines,1216,Card,Yes
09-07-2025,Entertainment,Movies,1276,Card,No
10-07-2025,Shopping,Amazon Purchase,692,UPI,No
11-07-2025,Subscriptions,Netflix,1567,UPI,No
12-07-2025,Utilities,Electricity Bill,591,Cash,Yes
12-07-2025,Utilities,Internet Bill,1996,Card,Yes
12-07-2025,Subscriptions,Spotify,2382,UPI,No
13-07-2025,Food,Groceries,506,Card,Yes
13-07-2025,Entertainment,OTT,2095,Card,No
14-07-2025,Utilities,Internet Bill,1685,Cash,Yes
14-07-2025,Food,Eating Out,602,Cash,Yes
14-07-2025,Health,Medicines,592,Cash,Yes
15-07-2025,Transport,Fuel,560,Cash,Yes
15-07-2025,Subscriptions,Spotify,763,UPI,No
15-07-2025,Shopping,Amazon Purchase,2478,UPI,No
16-07-2025,Utilities,Electricity Bill,1383,Cash,Yes
16-07-2025,Utilities,Internet Bill,2019,Card,Yes
16-07-2025,Transport,Auto/Taxi,745,Card,Yes
17-07-2025,Utilities,Electricity Bill,2238,UPI,Yes
17-07-2025,Subscriptions,Spotify,1608,UPI,No
18-07-2025,Health,Medicines,1172,UPI,Yes
18-07-2025,Utilities,Electricity Bill,1679,Cash,Yes
18-07-2025,Food,Groceries,324,Cash,Yes
19-07-2025,Shopping,Clothes,1831,UPI,No
19-07-2025,Shopping,Electronics,1720,Card,No
20-07-2025,Subscriptions,Netflix,1836,UPI,No
20-07-2025,Food,Groceries,101,Card,Yes
21-07-2025,Subscriptions,Netflix,1861,Card,No
21-07-2025,Entertainment,Movies,1895,Card,No
22-07-2025,Shopping,Clothes,322,UPI,No
22-07-2025,Subscriptions,Spotify,397,Card,No
22-07-2025,Utilities,Water Bill,2391,UPI,Yes
23-07-2025,Shopping,Electronics,1994,Cash,No
24-07-2025,Transport,Fuel,246,Cash,Yes
24-07-2025,Shopping,Amazon Purchase,2159,Cash,No
24-07-2025,Transport,Auto/Taxi,878,UPI,Yes
25-07-2025,Transport,Auto/Taxi,397,Cash,Yes
26-07-2025,Shopping,Clothes,823,UPI,No
26-07-2025,Shopping,Electronics,2249,UPI,No
26-07-2025,Health,Gym Membership,1383,Cash,Yes
27-07-2025,Food,Groceries,758,Cash,Yes
27-07-2025,Shopping,Amazon Purchase,1896,Cash,No
27-07-2025,Food,Groceries,521,Card,Yes
28-07-2025,Health,Gym Membership,2400,UPI,Yes
28-07-2025,Transport,Fuel,437,Card,Yes
28-07-2025,Health,Medicines,1156,UPI,Yes
29-07-2025,Shopping,Clothes,1500,Cash,No
30-07-2025,Food,Groceries,787,Cash,Yes
30-07-2025,Utilities,Internet Bill,1245,Card,Yes
30-07-2025,Health,Gym Membership,762,Card,Yes
31-07-2025,Utilities,Internet Bill,997,UPI,Yes
31-07-2025,Shopping,Amazon Purchase,1704,UPI,No
31-07-2025,Shopping,Amazon Purchase,858,Cash,No
01-08-2025,Food,Snacks,257,UPI,Yes
02-08-2025,Entertainment,OTT,1968,UPI,No
02-08-2025,Entertainment,Movies,380,Cash,No
03-08-2025,Shopping,Amazon Purchase,390,UPI,No
03-08-2025,Entertainment,Movies,1384,Cash,No
03-08-2025,Transport,Fuel,834,Card,Yes
04-08-2025,Utilities,Internet Bill,825,Cash,Yes
04-08-2025,Health,Medicines,354,Card,Yes
05-08-2025,Transport,Auto/Taxi,492,Cash,Yes
05-08-2025,Health,Medicines,1700,Card,Yes
06-08-2025,Transport,Auto/Taxi,507,UPI,Yes
06-08-2025,Shopping,Electronics,235,UPI,No
06-08-2025,Shopping,Amazon Purchase,599,Card,No
07-08-2025,Subscriptions,Netflix,1033,Cash,No
07-08-2025,Subscriptions,Netflix,774,Card,No
07-08-2025,Entertainment,OTT,1915,Card,No
08-08-2025,Subscriptions,Netflix,1795,UPI,No
08-08-2025,Subscriptions,Netflix,1076,Card,No
09-08-2025,Utilities,Internet Bill,468,Card,Yes
09-08-2025,Shopping,Amazon Purchase,1882,UPI,No
09-08-2025,Subscriptions,Netflix,1281,Cash,No
10-08-2025,Entertainment,Movies,2053,Cash,No
10-08-2025,Subscriptions,Spotify,1212,UPI,No
11-08-2025,Transport,Fuel,195,Card,Yes
11-08-2025,Health,Gym Membership,687,UPI,Yes
12-08-2025,Food,Snacks,803,Cash,Yes
13-08-2025,Health,Gym Membership,353,Cash,Yes
14-08-2025,Health,Medicines,1443,UPI,Yes
15-08-2025,Food,Groceries,552,Card,Yes
15-08-2025,Transport,Fuel,650,UPI,Yes
15-08-2025,Health,Medicines,2270,Card,Yes
16-08-2025,Health,Gym Membership,1831,UPI,Yes
16-08-2025,Entertainment,OTT,535,Cash,No
17-08-2025,Food,Snacks,259,Cash,Yes
17-08-2025,Shopping,Electronics,1768,UPI,No
18-08-2025,Utilities,Water Bill,1491,Cash,Yes
19-08-2025,Food,Eating Out,142,UPI,Yes
20-08-2025,Shopping,Clothes,953,Cash,No
21-08-2025,Food,Eating Out,704,Card,Yes
21-08-2025,Transport,Fuel,517,Cash,Yes
21-08-2025,Food,Groceries,600,Card,Yes
22-08-2025,Utilities,Water Bill,928,UPI,Yes
23-08-2025,Food,Eating Out,556,Cash,Yes
24-08-2025,Utilities,Internet Bill,1177,UPI,Yes
25-08-2025,Subscriptions,Spotify,236,UPI,No
25-08-2025,Subscriptions,Spotify,2464,Cash,No
25-08-2025,Food,Groceries,161,UPI,Yes
26-08-2025,Entertainment,OTT,2424,UPI,No
26-08-2025,Food,Snacks,364,Cash,Yes
27-08-2025,Subscriptions,Spotify,1050,Card,No
27-08-2025,Subscriptions,Netflix,595,UPI,No
28-08-2025,Entertainment,OTT,1367,UPI,No
28-08-2025,Subscriptions,Netflix,1265,Card,No
28-08-2025,Subscriptions,Spotify,833,UPI,No
29-08-2025,Subscriptions,Netflix,950,UPI,No
29-08-2025,Transport,Auto/Taxi,352,Card,Yes
29-08-2025,Subscriptions,Netflix,1391,Card,No
30-08-2025,Transport,Auto/Taxi,293,UPI,Yes
31-08-2025,Entertainment,Movies,1719,UPI,No
01-09-2025,Health,Gym Membership,710,Cash,Yes
02-09-2025,Entertainment,OTT,2010,UPI,No
03-09-2025,Subscriptions,Netflix,2081,Cash,No
03-09-2025,Subscriptions,Netflix,372,UPI,No
04-09-2025,Shopping,Electronics,1883,UPI,No
04-09-2025,Subscriptions,Spotify,2196,Card,No
05-09-2025,Subscriptions,Netflix,1023,UPI,No
06-09-2025,Entertainment,OTT,884,UPI,No
06-09-2025,Entertainment,Movies,279,Card,No
07-09-2025,Utilities,Water Bill,1899,Cash,Yes
08-09-2025,Shopping,Clothes,2294,UPI,No
08-09-2025,Food,Eating Out,514,UPI,Yes
08-09-2025,Entertainment,OTT,670,UPI,No
09-09-2025,Shopping,Amazon Purchase,1167,Card,No
09-09-2025,Shopping,Clothes,572,Card,No
09-09-2025,Shopping,Amazon Purchase,739,UPI,No
10-09-2025,Shopping,Amazon Purchase,1424,UPI,No
11-09-2025,Shopping,Amazon Purchase,1124,UPI,No
12-09-2025,Utilities,Water Bill,1817,Cash,Yes
12-09-2025,Entertainment,OTT,209,Card,No
13-09-2025,Utilities,Electricity Bill,1215,UPI,Yes
13-09-2025,Health,Gym Membership,423,Cash,Yes
14-09-2025,Utilities,Internet Bill,262,UPI,Yes
15-09-2025,Utilities,Water Bill,1684,UPI,Yes
15-09-2025,Transport,Fuel,610,UPI,Yes
16-09-2025,Subscriptions,Spotify,2200,UPI,No
17-09-2025,Entertainment,OTT,1660,Cash,No
17-09-2025,Entertainment,OTT,913,Card,No
17-09-2025,Utilities,Electricity Bill,2101,UPI,Yes
18-09-2025,Entertainment,OTT,1669,UPI,No
18-09-2025,Food,Eating Out,133,Cash,Yes
18-09-2025,Subscriptions,Spotify,873,Card,No
19-09-2025,Utilities,Internet Bill,467,UPI,Yes
19-09-2025,Health,Gym Membership,962,UPI,Yes
20-09-2025,Subscriptions,Netflix,1452,UPI,No
21-09-2025,Transport,Auto/Taxi,202,Card,Yes
21-09-2025,Shopping,Amazon Purchase,1529,Card,No
22-09-2025,Health,Gym Membership,646,Card,Yes
22-09-2025,Shopping,Electronics,1558,Card,No
23-09-2025,Transport,Auto/Taxi,232,UPI,Yes
23-09-2025,Shopping,Electronics,1553,UPI,No
23-09-2025,Shopping,Clothes,268,Card,No
24-09-2025,Entertainment,Movies,2373,Cash,No
24-09-2025,Utilities,Electricity Bill,2106,Cash,Yes
25-09-2025,Subscriptions,Netflix,2342,Cash,No
26-09-2025,Shopping,Clothes,1919,UPI,No
26-09-2025,Utilities,Water Bill,866,UPI,Yes
27-09-2025,Entertainment,Movies,1228,Card,No
27-09-2025,Shopping,Electronics,1628,Card,No
28-09-2025,Entertainment,Movies,2168,Card,No
29-09-2025,Entertainment,Movies,2496,Cash,No
29-09-2025,Food,Eating Out,155,Card,Yes
30-09-2025,Subscriptions,Netflix,536,Card,No
30-09-2025,Shopping,Amazon Purchase,824,Cash,No
30-09-2025,Entertainment,OTT,502,Cash,No
01-10-2025,Health,Gym Membership,2325,Card,Yes
01-10-2025,Entertainment,Movies,1535,Cash,No
02-10-2025,Utilities,Water Bill,1974,UPI,Yes
02-10-2025,Transport,Fuel,838,Cash,Yes
02-10-2025,Subscriptions,Netflix,1854,UPI,No
03-10-2025,Subscriptions,Netflix,1454,Card,No
03-10-2025,Transport,Fuel,636,UPI,Yes
04-10-2025,Shopping,Electronics,266,UPI,No
05-10-2025,Transport,Fuel,210,Card,Yes
06-10-2025,Subscriptions,Spotify,1741,Card,No
06-10-2025,Transport,Fuel,414,UPI,Yes
07-10-2025,Entertainment,OTT,1660,Card,No
07-10-2025,Entertainment,Movies,1726,Card,No
08-10-2025,Health,Medicines,1830,Cash,Yes
08-10-2025,Food,Groceries,342,Cash,Yes
08-10-2025,Entertainment,OTT,1446,Card,No
09-10-2025,Shopping,Amazon Purchase,203,Cash,No
